TransactionID,TransactionDate,TransactionTime,StoreID,StoreLocation,ProductCategory,ProductName,Quantity,UnitPrice,DiscountPercent,SalesAmount,PaymentMethod,CustomerType,Month,Weekday,Hour
BB100055,2026-03-16,09:42:00,106,Ottawa,Breakfast,Breakfast Sandwich,1,6.95,0,6.95,Card,Guest,3,Monday,9
BB100056,2026-02-22,08:37:00,105,Hamilton,Tea,Green Tea,1,3.5,0,3.5,Card,Member,2,Sunday,8
BB100057,2026-01-04,07:39:00,102,North York,Tea,Green Tea,1,3.5,0,3.5,Mobile,Member,1,Sunday,7
BB100058,2026-03-05,18:11:00,104,Vaughan,Bakery,Croissant,2,3.95,0,7.9,Cash,Member,3,Thursday,18
BB100059,2026-01-27,11:58:00,105,Hamilton,Bakery,Cookie,1,2.75,0,2.75,Cash,Member,1,Tuesday,11
BB100060,2026-01-19,20:50:00,102,North York,Tea,Matcha Latte,1,5.95,0,5.95,Card,Member,1,Monday,20
BB100061,2026-03-23,07:30:00,105,Hamilton,Cold Drinks,Lemonade,3,4.25,5,12.11,Mobile,Member,3,Monday,7
BB100062,2026-03-23,15:22:00,101,Downtown Toronto,Coffee,Cappuccino,1,5.25,0,5.25,Card,Member,3,Monday,15
BB100063,2026-03-11,16:36:00,103,Mississauga,Coffee,Latte,2,5.5,5,10.45,Card,Guest,3,Wednesday,16
BB100064,2026-02-07,16:10:00,102,North York,Tea,Matcha Latte,1,5.95,0,5.95,Cash,Member,2,Saturday,16
BB100065,2026-01-14,13:00:00,105,Hamilton,Cold Drinks,Cold Brew,1,4.95,0,4.95,Cash,Guest,1,Wednesday,13
BB100066,2026-02-04,14:05:00,102,North York,Cold Drinks,Iced Latte,1,5.75,5,5.46,Cash,Member,2,Wednesday,14
BB100067,2026-02-12,11:06:00,104,Vaughan,Cold Drinks,Iced Coffee,1,4.75,0,4.75,Mobile,Guest,2,Thursday,11
BB100068,2026-02-20,12:23:00,101,Downtown Toronto,Cold Drinks,Lemonade,5,4.25,0,21.25,Mobile,Member,2,Friday,12
BB100069,2026-03-12,14:41:00,102,North York,Bakery,Croissant,1,3.95,0,3.95,Card,Member,3,Thursday,14
BB100070,2026-02-24,14:31:00,104,Vaughan,Tea,Earl Grey,1,3.5,0,3.5,Mobile,Member,2,Tuesday,14
BB100071,2026-01-30,12:07:00,102,North York,Cold Drinks,Iced Coffee,1,4.75,0,4.75,Card,Member,1,Friday,12
BB100072,2026-02-10,11:26:00,103,Mississauga,Bakery,Croissant,1,3.95,20,3.16,Mobile,Member,2,Tuesday,11
BB100073,2026-02-25,19:33:00,105,Hamilton,Coffee,Latte,1,5.5,0,5.5,Card,Member,2,Wednesday,19
BB100074,2026-02-18,07:54:00,103,Mississauga,Coffee,Cappuccino,1,5.25,10,4.73,Mobile,Member,2,Wednesday,7
BB100075,2026-02-16,16:29:00,104,Vaughan,Coffee,Americano,1,3.75,0,3.75,Card,Member,2,Monday,16
BB100076,2026-03-20,18:01:00,103,Mississauga,Breakfast,Yogurt Parfait,1,5.25,0,5.25,Card,Guest,3,Friday,18
BB100077,2026-02-20,13:48:00,106,Ottawa,Tea,Earl Grey,4,3.5,0,14.0,Mobile,Member,2,Friday,13
BB100078,2026-03-30,14:53:00,105,Hamilton,Bakery,Croissant,2,3.95,0,7.9,Card,Member,3,Monday,14
BB100079,2026-03-09,17:50:00,105,Hamilton,Coffee,Flat White,1,5.75,5,5.46,Card,Member,3,Monday,17
BB100080,2026-02-23,09:53:00,104,Vaughan,Bakery,Brownie,1,3.5,0,3.5,Card,Guest,2,Monday,9
BB100081,2026-02-07,20:41:00,104,Vaughan,Breakfast,Oatmeal,2,4.95,0,9.9,Mobile,Member,2,Saturday,20
BB100082,2026-03-23,11:56:00,102,North York,Coffee,Latte,1,5.5,0,5.5,Card,Guest,3,Monday,11
BB100083,2026-02-13,09:23:00,106,Ottawa,Cold Drinks,Lemonade,1,4.25,0,4.25,Mobile,Member,2,Friday,9
BB100084,2026-02-19,13:25:00,102,North York,Tea,Matcha Latte,1,5.95,0,5.95,Card,Guest,2,Thursday,13
BB100085,2026-02-04,14:05:00,103,Mississauga,Coffee,Espresso,3,3.25,0,9.75,Card,Member,2,Wednesday,14
BB100086,2026-01-31,16:45:00,106,Ottawa,Breakfast,Yogurt Parfait,1,5.25,0,5.25,Card,Guest,1,Saturday,16
BB100087,2026-02-08,11:42:00,101,Downtown Toronto,Coffee,Mocha,3,5.95,20,14.28,Mobile,Guest,2,Sunday,11
BB100088,2026-01-20,13:02:00,105,Hamilton,Coffee,Latte,4,5.5,0,22.0,Cash,Member,1,Tuesday,13
BB100089,2026-02-27,13:10:00,103,Mississauga,Coffee,Mocha,1,5.95,0,5.95,Card,Member,2,Friday,13
BB100090,2026-02-26,08:57:00,104,Vaughan,Tea,Green Tea,1,3.5,0,3.5,Card,Guest,2,Thursday,8
BB100091,2026-03-27,13:55:00,106,Ottawa,Cold Drinks,Lemonade,1,4.25,0,4.25,Card,Member,3,Friday,13
BB100092,2026-03-10,11:49:00,104,Vaughan,Cold Drinks,Lemonade,3,4.25,0,12.75,Mobile,Member,3,Tuesday,11
BB100093,2026-01-23,07:10:00,103,Mississauga,Tea,Green Tea,1,3.5,0,3.5,Card,Member,1,Friday,7
BB100094,2026-03-28,07:22:00,103,Mississauga,Bakery,Chocolate Muffin,2,3.75,0,7.5,Mobile,Guest,3,Saturday,7
BB100095,2026-02-15,09:32:00,101,Downtown Toronto,Bakery,Chocolate Muffin,1,3.75,10,3.38,Card,Member,2,Sunday,9
BB100096,2026-02-07,11:26:00,105,Hamilton,Breakfast,Oatmeal,1,4.95,0,4.95,Mobile,Member,2,Saturday,11
BB100097,2026-03-04,09:13:00,104,Vaughan,Breakfast,Oatmeal,1,4.95,0,4.95,Card,Member,3,Wednesday,9
BB100098,2026-03-17,09:59:00,102,North York,Cold Drinks,Cold Brew,2,4.95,0,9.9,Mobile,Guest,3,Tuesday,9
BB100099,2026-03-03,09:20:00,103,Mississauga,Coffee,Flat White,1,5.75,0,5.75,Card,Member,3,Tuesday,9
BB100100,2026-02-17,11:59:00,102,North York,Bakery,Chocolate Muffin,3,3.75,0,11.25,Card,Member,2,Tuesday,11
BB100101,2026-01-04,09:40:00,105,Hamilton,Cold Drinks,Iced Coffee,4,4.75,0,19.0,Card,Guest,1,Sunday,9
BB100102,2026-01-06,07:39:00,102,North York,Cold Drinks,Cold Brew,2,4.95,0,9.9,Card,Member,1,Tuesday,7
BB100103,2026-01-01,12:07:00,104,Vaughan,Breakfast,Oatmeal,1,4.95,0,4.95,Mobile,Member,1,Thursday,12
BB100104,2026-02-07,13:29:00,103,Mississauga,Tea,Earl Grey,1,3.5,0,3.5,Card,Guest,2,Saturday,13
BB100105,2026-03-13,08:06:00,104,Vaughan,Cold Drinks,Cold Brew,2,4.95,0,9.9,Mobile,Guest,3,Friday,8
BB100106,2026-01-10,08:03:00,106,Ottawa,Coffee,Latte,1,5.5,0,5.5,Card,Member,1,Saturday,8
BB100107,2026-02-14,14:57:00,101,Downtown Toronto,Cold Drinks,Lemonade,2,4.25,5,8.07,Card,Guest,2,Saturday,14
BB100108,2026-02-14,13:28:00,101,Downtown Toronto,Tea,Chai Latte,1,5.5,0,5.5,Cash,Guest,2,Saturday,13
BB100109,2026-03-18,09:56:00,103,Mississauga,Tea,Green Tea,1,3.5,0,3.5,Card,Member,3,Wednesday,9
BB100110,2026-02-02,07:55:00,104,Vaughan,Cold Drinks,Cold Brew,1,4.95,0,4.95,Card,Guest,2,Monday,7
BB100111,2026-01-28,12:07:00,101,Downtown Toronto,Coffee,Mocha,2,5.95,0,11.9,Card,Guest,1,Wednesday,12
BB100112,2026-02-04,08:51:00,104,Vaughan,Bakery,Chocolate Muffin,1,3.75,5,3.56,Card,Member,2,Wednesday,8
BB100113,2026-03-08,17:42:00,106,Ottawa,Coffee,Americano,1,3.75,10,3.38,Mobile,Guest,3,Sunday,17
BB100114,2026-02-08,14:34:00,101,Downtown Toronto,Tea,Earl Grey,1,3.5,0,3.5,Mobile,Member,2,Sunday,14
BB100115,2026-03-03,07:30:00,106,Ottawa,Cold Drinks,Iced Latte,2,5.75,0,11.5,Mobile,Member,3,Tuesday,7
BB100116,2026-02-18,13:02:00,102,North York,Coffee,Cappuccino,1,5.25,0,5.25,Card,Member,2,Wednesday,13
BB100117,2026-02-22,12:13:00,101,Downtown Toronto,Breakfast,Oatmeal,1,4.95,0,4.95,Mobile,Guest,2,Sunday,12
BB100118,2026-01-13,15:45:00,102,North York,Breakfast,Oatmeal,4,4.95,0,19.8,Cash,Member,1,Tuesday,15
BB100119,2026-02-21,07:01:00,101,Downtown Toronto,Coffee,Americano,1,3.75,0,3.75,Card,Member,2,Saturday,7
BB100120,2026-03-20,13:01:00,105,Hamilton,Bakery,Croissant,1,3.95,0,3.95,Card,Member,3,Friday,13
BB100121,2026-02-12,18:16:00,101,Downtown Toronto,Tea,Earl Grey,1,3.5,5,3.32,Card,Guest,2,Thursday,18
BB100122,2026-01-20,09:06:00,102,North York,Bakery,Cookie,4,2.75,0,11.0,Mobile,Member,1,Tuesday,9
BB100123,2026-01-31,16:13:00,105,Hamilton,Bakery,Chocolate Muffin,1,3.75,0,3.75,Mobile,Member,1,Saturday,16
BB100124,2026-03-09,13:45:00,104,Vaughan,Tea,Chai Latte,1,5.5,0,5.5,Card,Member,3,Monday,13
BB100125,2026-02-09,13:56:00,102,North York,Cold Drinks,Cold Brew,1,4.95,0,4.95,Mobile,Guest,2,Monday,13
BB100126,2026-02-01,13:25:00,105,Hamilton,Tea,Matcha Latte,1,5.95,5,5.65,Mobile,Guest,2,Sunday,13
BB100127,2026-03-15,11:32:00,106,Ottawa,Coffee,Cappuccino,1,5.25,0,5.25,Card,Member,3,Sunday,11
BB100128,2026-03-15,13:25:00,101,Downtown Toronto,Coffee,Cappuccino,4,5.25,5,19.95,Card,Member,3,Sunday,13
BB100129,2026-01-29,08:21:00,106,Ottawa,Breakfast,Breakfast Sandwich,1,6.95,0,6.95,Mobile,Guest,1,Thursday,8
BB100130,2026-01-27,07:12:00,105,Hamilton,Cold Drinks,Lemonade,3,4.25,5,12.11,Card,Member,1,Tuesday,7
BB100131,2026-01-11,14:26:00,106,Ottawa,Coffee,Cappuccino,3,5.25,0,15.75,Mobile,Guest,1,Sunday,14
BB100132,2026-02-02,11:55:00,106,Ottawa,Cold Drinks,Iced Coffee,1,4.75,0,4.75,Mobile,Member,2,Monday,11
BB100133,2026-03-21,12:33:00,104,Vaughan,Coffee,Mocha,1,5.95,5,5.65,Card,Guest,3,Saturday,12
BB100134,2026-03-03,19:07:00,101,Downtown Toronto,Coffee,Espresso,3,3.25,0,9.75,Mobile,Guest,3,Tuesday,19
BB100135,2026-03-15,19:56:00,102,North York,Bakery,Bagel,2,3.5,0,7.0,Card,Guest,3,Sunday,19
BB100136,2026-01-24,16:42:00,105,Hamilton,Bakery,Blueberry Muffin,1,3.75,0,3.75,Cash,Member,1,Saturday,16
BB100137,2026-03-12,12:54:00,104,Vaughan,Bakery,Brownie,1,3.5,15,2.98,Mobile,Guest,3,Thursday,12
BB100138,2026-02-07,07:22:00,105,Hamilton,Cold Drinks,Iced Latte,1,5.75,0,5.75,Card,Member,2,Saturday,7
BB100139,2026-03-05,11:53:00,104,Vaughan,Bakery,Brownie,1,3.5,0,3.5,Mobile,Guest,3,Thursday,11
BB100140,2026-02-10,08:21:00,106,Ottawa,Coffee,Espresso,1,3.25,10,2.93,Cash,Member,2,Tuesday,8
BB100141,2026-03-07,13:22:00,104,Vaughan,Bakery,Brownie,3,3.5,0,10.5,Mobile,Guest,3,Saturday,13
BB100142,2026-02-01,07:11:00,102,North York,Breakfast,Yogurt Parfait,2,5.25,0,10.5,Cash,Guest,2,Sunday,7
BB100143,2026-01-19,19:55:00,105,Hamilton,Cold Drinks,Cold Brew,1,4.95,0,4.95,Card,Guest,1,Monday,19
BB100144,2026-03-12,09:35:00,106,Ottawa,Bakery,Chocolate Muffin,1,3.75,0,3.75,Cash,Member,3,Thursday,9
BB100145,2026-02-25,08:49:00,101,Downtown Toronto,Coffee,Americano,1,3.75,0,3.75,Mobile,Member,2,Wednesday,8
BB100146,2026-03-07,09:35:00,101,Downtown Toronto,Breakfast,Yogurt Parfait,1,5.25,0,5.25,Mobile,Guest,3,Saturday,9
BB100147,2026-01-30,09:13:00,104,Vaughan,Breakfast,Oatmeal,3,4.95,0,14.85,Card,Member,1,Friday,9
BB100148,2026-03-01,20:12:00,102,North York,Cold Drinks,Lemonade,1,4.25,0,4.25,Card,Guest,3,Sunday,20
BB100149,2026-02-13,09:35:00,104,Vaughan,Coffee,Mocha,1,5.95,15,5.06,Mobile,Member,2,Friday,9
BB100150,2026-03-23,07:18:00,105,Hamilton,Breakfast,Breakfast Sandwich,3,6.95,0,20.85,Cash,Member,3,Monday,7
BB100151,2026-03-22,19:55:00,102,North York,Bakery,Chocolate Muffin,1,3.75,0,3.75,Card,Member,3,Sunday,19
BB100152,2026-02-11,12:27:00,105,Hamilton,Tea,Matcha Latte,1,5.95,0,5.95,Card,Guest,2,Wednesday,12
BB100153,2026-03-02,20:22:00,106,Ottawa,Breakfast,Oatmeal,1,4.95,0,4.95,Mobile,Guest,3,Monday,20
BB100154,2026-03-12,12:36:00,102,North York,Tea,Green Tea,2,3.5,0,7.0,Cash,Member,3,Thursday,12
BB100155,2026-03-17,13:26:00,104,Vaughan,Bakery,Blueberry Muffin,2,3.75,5,7.12,Mobile,Member,3,Tuesday,13
BB100156,2026-02-05,19:24:00,103,Mississauga,Bakery,Blueberry Muffin,4,3.75,15,12.75,Card,Member,2,Thursday,19
BB100157,2026-03-05,08:41:00,105,Hamilton,Bakery,Chocolate Muffin,1,3.75,10,3.38,Mobile,Guest,3,Thursday,8
BB100158,2026-02-24,13:06:00,106,Ottawa,Coffee,Latte,1,5.5,0,5.5,Card,Member,2,Tuesday,13
BB100159,2026-02-06,09:56:00,104,Vaughan,Bakery,Chocolate Muffin,2,3.75,0,7.5,Card,Member,2,Friday,9
BB100160,2026-03-30,15:31:00,105,Hamilton,Cold Drinks,Cold Brew,4,4.95,0,19.8,Mobile,Guest,3,Monday,15
BB100161,2026-01-06,16:44:00,101,Downtown Toronto,Tea,Chai Latte,2,5.5,0,11.0,Mobile,Member,1,Tuesday,16
BB100162,2026-02-23,14:32:00,105,Hamilton,Bakery,Croissant,1,3.95,5,3.75,Card,Guest,2,Monday,14
BB100163,2026-01-18,12:28:00,103,Mississauga,Coffee,Flat White,3,5.75,0,17.25,Mobile,Member,1,Sunday,12
BB100164,2026-01-30,09:55:00,101,Downtown Toronto,Cold Drinks,Cold Brew,3,4.95,0,14.85,Mobile,Member,1,Friday,9
BB100165,2026-03-22,15:17:00,102,North York,Tea,Matcha Latte,2,5.95,0,11.9,Cash,Guest,3,Sunday,15
BB100166,2026-01-04,09:17:00,106,Ottawa,Bakery,Brownie,5,3.5,0,17.5,Card,Member,1,Sunday,9
BB100167,2026-01-27,13:41:00,105,Hamilton,Breakfast,Yogurt Parfait,1,5.25,0,5.25,Card,Guest,1,Tuesday,13
BB100168,2026-03-29,15:51:00,102,North York,Tea,Matcha Latte,5,5.95,0,29.75,Card,Member,3,Sunday,15
BB100169,2026-01-22,08:10:00,101,Downtown Toronto,Breakfast,Oatmeal,1,4.95,0,4.95,Card,Member,1,Thursday,8
BB100170,2026-02-22,12:26:00,106,Ottawa,Cold Drinks,Lemonade,1,4.25,5,4.04,Mobile,Guest,2,Sunday,12
BB100171,2026-01-13,19:23:00,103,Mississauga,Tea,Matcha Latte,2,5.95,5,11.3,Mobile,Guest,1,Tuesday,19
BB100172,2026-01-03,07:20:00,102,North York,Bakery,Brownie,2,3.5,0,7.0,Mobile,Guest,1,Saturday,7
BB100173,2026-03-01,19:53:00,105,Hamilton,Breakfast,Breakfast Sandwich,1,6.95,0,6.95,Mobile,Guest,3,Sunday,19
BB100174,2026-01-22,20:32:00,106,Ottawa,Cold Drinks,Iced Coffee,4,4.75,0,19.0,Mobile,Member,1,Thursday,20
BB100175,2026-02-22,12:35:00,104,Vaughan,Bakery,Croissant,1,3.95,0,3.95,Card,Guest,2,Sunday,12
BB100176,2026-01-29,09:58:00,102,North York,Bakery,Chocolate Muffin,1,3.75,0,3.75,Card,Member,1,Thursday,9
BB100177,2026-03-05,11:10:00,102,North York,Tea,Chai Latte,1,5.5,0,5.5,Cash,Member,3,Thursday,11
BB100178,2026-02-24,14:08:00,102,North York,Cold Drinks,Lemonade,1,4.25,0,4.25,Card,Guest,2,Tuesday,14
BB100179,2026-02-26,09:02:00,105,Hamilton,Coffee,Cappuccino,3,5.25,15,13.39,Mobile,Guest,2,Thursday,9
BB100180,2026-03-19,11:46:00,102,North York,Cold Drinks,Cold Brew,4,4.95,0,19.8,Mobile,Member,3,Thursday,11
BB100181,2026-03-13,08:04:00,101,Downtown Toronto,Tea,Matcha Latte,1,5.95,0,5.95,Card,Member,3,Friday,8
BB100182,2026-01-22,15:02:00,105,Hamilton,Cold Drinks,Strawberry Refresher,1,5.25,0,5.25,Card,Guest,1,Thursday,15
BB100183,2026-02-10,11:07:00,104,Vaughan,Tea,Chai Latte,2,5.5,15,9.35,Mobile,Member,2,Tuesday,11
BB100184,2026-02-19,07:42:00,101,Downtown Toronto,Cold Drinks,Strawberry Refresher,2,5.25,0,10.5,Card,Guest,2,Thursday,7
BB100185,2026-02-19,08:39:00,104,Vaughan,Coffee,Latte,1,5.5,10,4.95,Mobile,Guest,2,Thursday,8
BB100186,2026-02-14,17:07:00,106,Ottawa,Coffee,Mocha,1,5.95,0,5.95,Mobile,Member,2,Saturday,17
BB100187,2026-03-20,07:46:00,102,North York,Breakfast,Breakfast Sandwich,1,6.95,0,6.95,Mobile,Member,3,Friday,7
BB100188,2026-01-26,09:02:00,103,Mississauga,Breakfast,Oatmeal,1,4.95,10,4.46,Mobile,Member,1,Monday,9
BB100189,2026-02-15,14:08:00,106,Ottawa,Bakery,Croissant,1,3.95,0,3.95,Card,Member,2,Sunday,14
BB100190,2026-03-08,14:14:00,105,Hamilton,Tea,Earl Grey,1,3.5,0,3.5,Cash,Member,3,Sunday,14
BB100191,2026-01-06,08:44:00,101,Downtown Toronto,Cold Drinks,Iced Latte,1,5.75,0,5.75,Mobile,Member,1,Tuesday,8
BB100192,2026-01-29,09:37:00,101,Downtown Toronto,Tea,Chai Latte,1,5.5,0,5.5,Card,Member,1,Thursday,9
BB100193,2026-03-23,09:11:00,102,North York,Cold Drinks,Iced Coffee,1,4.75,0,4.75,Mobile,Guest,3,Monday,9
BB100194,2026-03-28,11:29:00,105,Hamilton,Tea,Matcha Latte,1,5.95,0,5.95,Cash,Member,3,Saturday,11
BB100195,2026-03-27,14:34:00,101,Downtown Toronto,Bakery,Cookie,1,2.75,20,2.2,Mobile,Member,3,Friday,14
BB100196,2026-02-17,13:08:00,104,Vaughan,Cold Drinks,Lemonade,1,4.25,0,4.25,Card,Member,2,Tuesday,13
BB100197,2026-02-10,08:26:00,104,Vaughan,Tea,Chai Latte,1,5.5,0,5.5,Cash,Guest,2,Tuesday,8
BB100198,2026-01-23,14:52:00,105,Hamilton,Tea,Earl Grey,1,3.5,0,3.5,Mobile,Guest,1,Friday,14
BB100199,2026-03-09,07:26:00,102,North York,Tea,Green Tea,3,3.5,0,10.5,Mobile,Member,3,Monday,7
BB100200,2026-02-13,13:12:00,104,Vaughan,Breakfast,Yogurt Parfait,5,5.25,0,26.25,Mobile,Guest,2,Friday,13
BB100201,2026-03-28,14:22:00,106,Ottawa,Cold Drinks,Strawberry Refresher,2,5.25,0,10.5,Mobile,Guest,3,Saturday,14
BB100202,2026-01-01,13:37:00,101,Downtown Toronto,Bakery,Brownie,1,3.5,0,3.5,Cash,Guest,1,Thursday,13
BB100203,2026-02-09,15:42:00,103,Mississauga,Breakfast,Yogurt Parfait,1,5.25,0,5.25,Mobile,Member,2,Monday,15
BB100204,2026-02-16,12:41:00,105,Hamilton,Coffee,Mocha,1,5.95,0,5.95,Mobile,Guest,2,Monday,12
BB100205,2026-01-18,11:07:00,101,Downtown Toronto,Coffee,Mocha,2,5.95,0,11.9,Card,Member,1,Sunday,11
BB100206,2026-02-04,12:20:00,103,Mississauga,Tea,Earl Grey,1,3.5,0,3.5,Card,Guest,2,Wednesday,12
